"統計期","行政區別","土地面積[平方公里]","實際編組里數[里]","戶籍登記里數[里]","實際編組鄰數[鄰]","戶籍登記鄰數[鄰]","戶數[戶]","人口數/總計[人]","人口數/男[人]","人口數/女[人]","性比例[男/百女]","戶量[人/戶]","人口密度[人/平方公里]"
"87年 1月底","總計",271.7997,435,0,9892,0,854969,2600118,1296241,1303877,99.41,3.04,9566
"87年 1月底","松山區",9.2878,33,0,770,0,69659,206030,100344,105686,94.95,2.96,22183
"87年 1月底","信義區",11.2077,41,0,956,0,81292,239970,121016,118954,101.73,2.95,21411
"87年 1月底","大安區",11.3614,54,0,1070,0,108004,314597,153808,160789,95.66,2.91,27690
"87年 1月底","中山區",13.6821,40,0,892,0,77279,212317,104070,108247,96.14,2.75,15518
"87年 1月底","中正區",7.6071,31,0,643,0,57554,165072,82681,82391,100.35,2.87,21700
"87年 1月底","大同區",5.6815,26,0,622,0,42097,133663,67539,66124,102.14,3.18,23526
"87年 1月底","萬華區",8.8522,36,0,748,0,68246,208447,106838,101609,105.15,3.05,23547
"87年 1月底","文山區",31.5090,37,0,1049,0,78231,235659,118020,117639,100.32,3.01,7479
"87年 1月底","南港區",21.8424,18,0,438,0,33823,110987,56292,54695,102.92,3.28,5081
"87年 1月底","內湖區",31.5787,29,0,860,0,75017,237573,118119,119454,98.88,3.17,7523
"87年 1月底","士林區",62.3682,50,0,990,0,89470,293806,146381,147425,99.29,3.28,4711
"87年 1月底","北投區",56.8216,40,0,854,0,74297,241997,121133,120864,100.22,3.26,4259
"87年 2月底","總計",271.7997,435,0,9892,0,855955,2601042,1296331,1304711,99.36,3.04,9570
"87年 2月底","松山區",9.2878,33,0,770,0,69675,206163,100386,105777,94.90,2.96,22197
"87年 2月底","信義區",11.2077,41,0,956,0,81380,240113,121057,119056,101.68,2.95,21424
"87年 2月底","大安區",11.3614,54,0,1070,0,108069,314733,153779,160954,95.54,2.91,27702
"87年 2月底","中山區",13.6821,40,0,892,0,77242,212174,103964,108210,96.08,2.75,15507
